Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-01-01,21.82527448,20301.81152,16372.125,26,12,189.77,1.31,0.6218476,297000
2000-02-01,20.27059093,22322.88984,34741.575,26,12,189.77,1.31,0.6363818,297000
2000-03-01,20.81578553,28513.72441,11159.775,26,12,189.77,1.31,0.74466205,297000
2000-04-01,17.34608447,26816.14863,61167.15,26,12,189.77,1.31,0.74466205,297000
2000-05-01,20.16082283,27904.05703,56415.15,26,12,189.77,1.31,0.74466205,297000
2000-06-01,22.13876751,29795.00273,76551.75,26,12,189.77,1.31,0.7770433,297000
2000-07-01,25.78754483,26093.54707,56793.82852,26,12,189.77,1.31,0.7770433,297000
2000-08-01,27.5032383,28003.17656,41268.15,26,12,189.77,1.31,0.8305608,297000
2000-09-01,27.03583816,20874.5666,6749.325,26,12,189.77,1.31,0.8074764,297000
2000-10-01,23.80302275,16014.67734,26336.47676,26,12,189.77,1.31,0.7841988,297000
2000-11-01,23.50847134,14598.23379,13639.725,26,12,189.77,1.31,0.7592571,297000
2000-12-01,22.06249772,17500.19941,10536.07412,26,12,189.77,1.31,0.75441253,297000
2001-01-01,19.86629106,20592.84902,16773.075,26,12,189.77,1.31,0.6744464,297000
2001-02-01,18.28313001,23730.54434,15421.725,26,12,189.77,1.31,0.7408991,297000
2001-03-01,16.04545311,22782.3082,38342.70352,26,12,189.77,1.31,0.6924524,297000
2001-04-01,17.01219145,24536.48203,41773.04648,26,12,189.77,1.31,0.6924524,297000
2001-05-01,18.12202189,24190.73965,84793.5,26,12,189.77,1.31,0.67382467,297000
2001-06-01,23.99706204,32257.47656,61865.1,26,12,189.77,1.31,0.8118883,297000
2001-07-01,25.46647761,26371.10566,62882.325,26,12,189.77,1.31,0.8118883,297000
2001-08-01,27.71515612,29150.73457,29900.475,26,12,189.77,1.31,0.82441133,297000
2001-09-01,25.8652288,22061.28867,14.85,26,12,189.77,1.31,0.78110874,297000
2001-10-01,21.99366463,16308.60645,29113.425,26,12,189.77,1.31,0.7818843,297000
2001-11-01,22.04128998,16376.54063,653.4,26,12,189.77,1.31,0.766326,297000
2001-12-01,19.21580413,15656.59863,10053.44912,26,12,189.77,1.31,0.69087297,297000
2002-01-01,17.55939929,20044.96699,17975.925,26,12,189.77,1.31,0.686878,297000
2002-02-01,16.26166502,22401.1125,9682.199121,26,12,189.77,1.31,0.7619756,297000
2002-03-01,13.59515498,19910.9373,7046.325,26,12,189.77,1.31,0.7619756,297000
2002-04-01,11.17732276,6494.431201,49190.625,26,12,189.77,1.31,0.7619756,297000
2002-05-01,15.62051264,25706.76855,45002.92148,26,12,189.77,1.31,0.77235526,297000
2002-06-01,16.76939007,26405.91035,117567.45,26,12,189.77,1.31,0.78569627,297000
2002-07-01,25.56141896,26829.12305,44193.6,26,12,189.77,1.31,0.78569627,297000
2002-08-01,25.84278857,27358.23867,19861.875,26,12,189.77,1.31,0.79780304,297000
2002-09-01,23.34833056,20359.83516,25029.675,26,12,189.77,1.31,0.7909062,297000
2002-10-01,22.5549013,17334.81914,12748.725,26,12,189.77,1.31,0.7909062,297000
2002-11-01,20.60301331,14208.20156,7187.400439,26,12,189.77,1.31,0.74545205,297000
2002-12-01,18.7014268,17488.82109,3653.1,26,12,189.77,1.31,0.74545205,297000
2003-01-01,16.0714828,20327.16621,10261.35,26,12,189.77,1.31,0.74545205,297000
2003-02-01,13.70830753,17086.36465,4165.425,26,12,189.77,1.31,0.74545205,297000
2003-03-01,11.38792339,8865.278613,25289.55,26,12,189.77,1.31,0.7561569,297000
2003-04-01,12.63779661,20122.35293,22683.375,26,12,189.77,1.31,0.7561569,297000
2003-05-01,12.156375,16658.00684,52420.5,26,12,189.77,1.31,0.7561569,297000
2003-06-01,15.59096715,25499.5752,53987.17148,26,12,189.77,1.31,0.7561569,297000
2003-07-01,17.83912148,23694.28945,57046.275,26,12,189.77,1.31,0.7561569,297000
