Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-01-01,21.85263978,45946.17422,35125.65,26,12,189.77,1.31,0.6646068,637200
2000-02-01,20.13925663,50365.31484,74536.46719,26,12,189.77,1.31,0.679836,637200
2000-03-01,20.5445754,60296.93438,23897.29395,26,12,189.77,1.31,0.73896295,637200
2000-04-01,17.302628,56805.94336,131433.8625,26,12,189.77,1.31,0.73896295,637200
2000-05-01,20.33410858,59562.94219,121036.1344,26,12,189.77,1.31,0.73896295,637200
2000-06-01,22.47842772,61945.60078,164238.3,26,12,189.77,1.31,0.7462043,637200
2000-07-01,26.45003754,54387.12305,121848.5672,26,12,189.77,1.31,0.7462043,637200
2000-08-01,28.36212234,61245.95625,88453.82109,26,12,189.77,1.31,0.84261024,637200
2000-09-01,27.85982689,44581.86211,14565.78369,26,12,189.77,1.31,0.7973849,637200
2000-10-01,24.66978297,34148.62617,56553.31406,26,12,189.77,1.31,0.77080435,637200
2000-11-01,24.54346458,30820.10977,29214.9791,26,12,189.77,1.31,0.7333443,637200
2000-12-01,23.27055084,37083.09023,22604.66895,26,12,189.77,1.31,0.7283372,637200
2001-01-01,21.24283253,45459.38672,35985.8707,26,12,189.77,1.31,0.6731896,637200
2001-02-01,19.65641103,52446.68438,33086.60859,26,12,189.77,1.31,0.7306573,637200
2001-03-01,17.45903448,55267.70625,82321.22109,26,12,189.77,1.31,0.7394783,637200
2001-04-01,18.01237532,57677.43164,89620.49531,26,12,189.77,1.31,0.7394783,637200
2001-05-01,18.7914394,57988.67695,181920.6,26,12,189.77,1.31,0.75038254,637200
2001-06-01,24.21874407,70357.29609,132728.7656,26,12,189.77,1.31,0.8255389,637200
2001-07-01,25.78167944,57560.6918,134911.1672,26,12,189.77,1.31,0.8255389,637200
2001-08-01,28.07178645,63157.46484,64148.66719,26,12,189.77,1.31,0.8313597,637200
2001-09-01,26.29463768,46861.13672,32.44703522,26,12,189.77,1.31,0.767997,637200
2001-10-01,22.43420769,34523.03672,62496.45703,26,12,189.77,1.31,0.7620476,637200
2001-11-01,22.87012767,34687.75078,1391.273328,26,12,189.77,1.31,0.7418329,637200
2001-12-01,20.03965292,35055.26016,21569.21895,26,12,189.77,1.31,0.7065452,637200
2002-01-01,18.33398145,45492.53203,38566.5293,26,12,189.77,1.31,0.70743567,637200
2002-02-01,16.95248545,51774.92578,20772.71895,26,12,189.77,1.31,0.79092526,637200
2002-03-01,14.0940537,52191.36914,15117.5707,26,12,189.77,1.31,0.79092526,637200
2002-04-01,11.11223749,19542.4752,105297.6234,26,12,189.77,1.31,0.79092526,637200
2002-05-01,15.30343015,58187.86875,96619.53516,26,12,189.77,1.31,0.8337887,637200
2002-06-01,16.23176353,58513.21172,252560.25,26,12,189.77,1.31,0.83320326,637200
2002-07-01,24.95788957,60047.76797,94815.35859,26,12,189.77,1.31,0.83320326,637200
2002-08-01,25.13335306,59450.05547,42612.75,26,12,189.77,1.31,0.8184423,637200
2002-09-01,22.71420978,42183.64336,53700.0293,26,12,189.77,1.31,0.768239,637200
2002-10-01,22.20024983,36052.10859,27397.30605,26,12,189.77,1.31,0.768239,637200
2002-11-01,20.54659723,30950.21602,15383.84414,26,12,189.77,1.31,0.76052016,637200
2002-12-01,18.68296885,38132.45156,7799.989746,26,12,189.77,1.31,0.76052016,637200
2003-01-01,16.05435064,44370.63633,21968.88398,26,12,189.77,1.31,0.7652349,637200
2003-02-01,13.74455931,39083.43516,8922.347754,26,12,189.77,1.31,0.7652349,637200
2003-03-01,11.31296097,17129.53652,54257.5793,26,12,189.77,1.31,0.7766802,637200
2003-04-01,12.79398457,45100.43789,48666.15,26,12,189.77,1.31,0.7766802,637200
2003-05-01,12.25951415,35921.51016,112522.1555,26,12,189.77,1.31,0.7766802,637200
2003-06-01,15.75865144,56175.56016,115886.025,26,12,189.77,1.31,0.7766802,637200
2003-07-01,17.97662071,51991.91719,122617.0828,26,12,189.77,1.31,0.7766802,637200
2003-08-01,20.59722402,53027.83828,45682.59375,26,12,189.77,1.31,0.7766802,637200
2003-09-01,19.08599203,37728.64336,81754.49531,26,12,189.77,1.31,0.7766802,637200
2003-10-01,20.51563388,32071.59141,98734.14141,26,12,189.77,1.31,0.7766802,637200
2003-11-01,23.09192264,31325.24883,29279.33965,26,12,189.77,1.31,0.7652349,637200
2003-12-01,21.78719728,37821.30117,33150.3293,26,12,189.77,1.31,0.7652349,637200
2004-01-01,20.26219426,50755.08164,0,26,12,189.77,1.31,0.7673318,637200
2004-02-01,16.50950932,47826.19688,2852.937598,26,12,189.77,1.31,0.7673318,637200
2004-03-01,13.19530387,36919.90195,73485.09141,26,12,189.77,1.31,0.77107584,637200
2004-04-01,14.48485874,48226.16602,55404.53789,26,12,189.77,1.31,0.77107584,637200
2004-05-01,14.09844231,44696.22188,150914.7844,26,12,189.77,1.31,0.77107584,637200
2004-06-01,18.99811543,58543.57266,278631.7031,26,12,189.77,1.31,0.77107584,637200
2004-07-01,28.98213082,62350.60781,64516.5,26,12,189.77,1.31,0.77107584,637200
2004-08-01,27.2962971,57564.81914,123554.7422,26,12,189.77,1.31,0.77107584,637200
