Date;U_init;etp;prec;FC;WP;zr;dg;kc;area;ES;int
2000-08-01;21.85263978;114.152;44.42539;26;12;189.77;1.31;0.6646068;637200;1.08099;9.61862
2000-09-01;20.13925663;126.682;102.40683;26;12;189.77;1.31;0.679836;637200;5.99239;8.57578
2000-10-01;20.5445754;140.426;26.173792;26;12;189.77;1.31;0.73896295;637200;0.698808;10.5961
2000-11-01;17.302628;143.613;172.73246;26;12;189.77;1.31;0.73896295;637200;24.2875;9.40304
2000-12-01;20.33410858;139.371;158.73935;26;12;189.77;1.31;0.73896295;637200;21.8595;9.35115
2001-01-01;22.47842772;138.583;210.12446;26;12;189.77;1.31;0.7462043;637200;37.8092;9.81634
2001-02-01;26.45003754;115.537;154.60043;26;12;189.77;1.31;0.7462043;637200;30.1307;6.49387
2001-03-01;28.36212234;115.044;105.9714;26;12;189.77;1.31;0.84261024;637200;17.815;14.9646
2001-04-01;27.85982689;88.3034;13.144031;26;12;189.77;1.31;0.7973849;637200;0.479219;9.30135
2001-05-01;24.66978297;72.3004;57.07671;26;12;189.77;1.31;0.77080435;637200;3.62629;28.0879
2001-06-01;24.54346458;68.0757;32.52607;26;12;189.77;1.31;0.7333443;637200;1.16343;12.1223
2001-07-01;23.27055084;84.0036;22.373707;26;12;189.77;1.31;0.7283372;637200;0.458893;12.6424
2001-08-01;21.24283253;113.601;45.16951;26;12;189.77;1.31;0.6731896;637200;1.11489;10.1906
2001-09-01;19.65641103;126.294;40.75167;26;12;189.77;1.31;0.7306573;637200;1.16033;10.013
2001-10-01;17.45903448;140.195;109.20238;26;12;189.77;1.31;0.7394783;637200;8.18812;11.8465
2001-11-01;18.01237532;143.534;119.5802;26;12;189.77;1.31;0.7394783;637200;13.3002;7.7626
2001-12-01;18.7914394;139.394;236.93802;26;12;189.77;1.31;0.75038254;637200;40.1852;8.37678
2002-01-01;24.21874407;141.069;169.6319;26;12;189.77;1.31;0.8255389;637200;27.7179;10.9502
2002-02-01;25.78167944;113.232;169.75682;26;12;189.77;1.31;0.8255389;637200;34.5786;7.38958
2002-03-01;28.07178645;120.547;77.659;26;12;189.77;1.31;0.8313597;637200;10.8493;12.1597
2002-04-01;26.29463768;97.5731;0.015708986;26;12;189.77;1.31;0.767997;637200;1.51E-06;0.0342895
2002-05-01;22.43420769;76.2779;78.94297;26;12;189.77;1.31;0.7620476;637200;5.38473;13.7789
2002-06-01;22.87012767;77.8508;0.74569152;26;12;189.77;1.31;0.7418329;637200;0.00140848;1.42821
2002-07-01;20.03965292;86.4229;26.603439;26;12;189.77;1.31;0.7065452;637200;0.515021;6.73154
2002-08-01;18.33398145;117.227;48.78009;26;12;189.77;1.31;0.70743567;637200;1.27001;10.4749
2002-09-01;16.95248545;127.41;18.649159;26;12;189.77;1.31;0.79092526;637200;0.340741;13.6101
2002-10-01;14.0940537;164.81;13.558102;26;12;189.77;1.31;0.79092526;637200;0.224058;9.94284
2002-11-01;11.11223749;144.633;138.2753;26;12;189.77;1.31;0.79092526;637200;15.8473;10.9444
2002-12-01;15.30343015;143.299;126.4478;26;12;189.77;1.31;0.8337887;637200;14.4178;10.8174
2003-01-01;16.23176353;138.523;319.4137;26;12;189.77;1.31;0.83320326;637200;65.5962;11.5991
