Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2000-01-01;166397.4559;264702.9698;215627.4219;224655.6988;383728.4002;197929.9343;148997.333;232565.5847;73543.43212;142509.4793;147089.2106;292260.6719;120458.3158;91195.54639;55379.11785;111199.0975;177481.0216;151529.5004;176223.3725;314432.3223;263727.1585;203492.4195;197644.8905;111302.0976;329783.2975;141190.061;163864.043;368797.5941;237219.8503;171921.9353;59168.95849;189054.2793;75980.49313;49931.88125
2000-02-01;83476.12417;134491.5916;82713.07218;120953.1255;198493.0501;113658.2562;59222.40901;121697.2518;32993.61464;79509.77272;63134.15122;171679.4744;52457.27009;37693.70502;20876.02919;59350.01725;64826.4631;58707.84813;83364.76207;167228.3313;115116.2277;97052.42229;127109.2104;57854.50333;154213.7972;51499.97413;86855.77512;196024.081;141818.0938;105765.0075;20781.19567;71116.66918;42755.87189;30113.2392
2000-03-01;72721.60918;120797.7805;70844.79618;101748.1796;176045.8767;95889.66215;41072.56418;96813.57265;24315.70637;66170.85654;44504.97526;145099.4182;38108.46439;25949.3849;12774.51611;48746.19788;55094.0693;47807.06477;67500.72259;136735.6156;94474.15745;79630.69904;113536.4656;46717.30846;117523.8622;38249.95789;72661.43811;160311.7436;122643.8152;92643.05091;12946.4162;46203.99803;35996.7438;26235.51974
2000-04-01;117901.2169;181560.565;119060.4815;179188.9665;252855.0196;168780.236;116211.7438;195923.5046;60294.53355;121591.8957;112941.5045;245024.3511;97346.19498;73255.02813;43510.34456;93165.30275;92494.60995;95222.49377;127535.9552;260958.9322;181125.0236;149315.1201;169614.4717;92900.30479;266664.1324;89701.6257;130744.6089;304103.2727;203094.6908;147585.8452;46077.06571;147540.723;63908.03236;42828.65846
2000-05-01;132147.0491;215439.9226;160927.1078;181419.2791;306739.0194;162645.7129;113261.3772;185082.0909;57375.18185;117275.9457;110029.6168;240155.6654;92623.17896;70031.77947;41334.74261;90268.94188;129803.0956;112120.2174;134631.2842;252186.847;202108.8567;161110.5033;169038.9383;89886.6241;256193.4879;105747.2985;132975.1049;300252.4788;200602.0067;145667.4296;43378.80152;139836.1709;61760.75613;42059.34942
2000-06-01;161663.6928;255123.6084;186851.5635;239123.811;365270.5064;217806.2875;163974.1788;258757.1819;84013.70001;158240.7349;166804.4157;320832.4034;137256.0811;104211.3647;63978.12009;123579.2742;143977.6765;142955.9609;182649.1964;350622.0789;259470.1581;211547.6661;211061.0061;124222.5827;371993.753;141868.6137;176966.0118;408309.6743;259064.9171;188563.8921;68388.04185;217420.2812;84057.78909;54556.18447
2000-07-01;166397.4946;266310.2996;216166.5523;225392.39;383705.6894;197924.8939;148997.2751;232433.3947;73540.13944;142509.4889;147083.1467;292251.7498;120452.9085;91188.01475;55374.09192;111188.5918;177481.2148;152032.8748;175884.8541;314646.163;264139.7381;207892.2315;197644.794;111186.6413;329783.3748;141190.3893;163864.1396;369043.8595;237137.5043;172019.3832;59168.93917;189054.3373;75980.60417;50092.80735
2000-08-01;125293.0416;199612.2136;146955.4564;173977.9193;287947.2613;157498.0377;103273.3469;177470.2456;54352.18316;113142.4738;104553.0599;234395.0593;88362.00714;63621.76234;37206.53567;88183.27546;116040.4279;103595.7881;130582.1571;244768.816;191922.58;148833.7709;163224.3748;86129.40609;246073.9338;95869.8771;126812.2609;294638.4501;194988.6153;139422.5582;42573.41784;130649.295;59681.11986;41719.29574
2000-09-01;76457.86411;126306.7911;74628.48598;106023.2753;182307.4915;101533.4312;45784.48069;103434.862;26573.76292;70249.03357;47764.7379;151562.0216;42368.30127;28708.73746;14103.5964;52480.12573;60645.58053;51126.2598;71640.33562;144036.4523;99083.15599;82022.80676;117378.0477;50388.97955;127976.9136;41611.92638;79210.5782;180738.9786;132657.1634;96978.6315;14920.05426;52814.14926;37957.5322;27388.05422
2000-10-01;80486.70405;130351.5247;79364.31545;112392.3801;187026.8576;108512.2805;52120.30631;112815.4557;30376.45322;75940.7782;54127.17533;160804.4869;48285.78275;32542.19404;16620.9527;57066.49071;60629.28611;55704.39309;76533.19985;156202.991;109819.0302;89603.45364;122431.4132;54698.88496;140984.4954;46889.33408;84698.59672;195648.6189;140281.3393;102383.773;17776.47087;61219.50138;40359.60245;29349.81787
