Date,Irrigation_A_3,Irrigation_A_1,Irrigation_A_2
2001-06-01,0,57.0255068,503.3627943
2001-07-01,0,58.02151008,0
2001-08-01,0,17.45776987,158.5705625
2001-09-01,0,0,228.4020822
2001-10-01,0,0,0
2001-11-01,0,0,0
2001-12-01,0,0,0
2002-01-01,0,0,0
2002-02-01,0,0,0
2002-03-01,0,796.6283714,2680.704997
2002-04-01,270.3236444,702.9358883,3049.838141
2002-05-01,0,432.7869718,1785.464292
2002-06-01,75.33586496,34.97275944,635.2409009
2002-07-01,0,0,19.11219685
2002-08-01,212.2784951,167.3078055,907.151173
2002-09-01,0,0,299.4558704
2002-10-01,850.4939313,481.9440442,1861.277759
2002-11-01,0,0,0
2002-12-01,0,0,0
2003-01-01,0,0,0
2003-02-01,0,0,0
2003-03-01,0,0,0
2003-04-01,0,0,1545.73592
2003-05-01,59.14831264,104.5887437,869.4459706
2003-06-01,0,63.18735915,790.989526
2003-07-01,0,40.68002122,404.0161866
2003-08-01,68.21233434,0,290.3006306
2003-09-01,33.61965096,24.81620062,182.1142728
2003-10-01,0,0,558.2049683
2003-11-01,0,0,0
2003-12-01,0,0,0
2004-01-01,0,0,0
2004-02-01,0,0,0
2004-03-01,0,0,657.763323
2004-04-01,0,468.7055546,891.4249293
2004-05-01,0,384.0117348,140.6971941
2004-06-01,0,0,401.6414832
2004-07-01,0,0,0
2004-08-01,118.3210711,201.9930434,2723.550105
2004-09-01,189.9607134,0,133.0530762
2004-10-01,0,0,0
2004-11-01,0,0,0
2004-12-01,0,0,0
2005-01-01,0,0,0
2005-02-01,304.503355,0,0
2005-03-01,0,0,1833.401571
2005-04-01,241.0205972,450.4792933,3585.272272
2005-05-01,219.6708559,34.80368836,157.7045045
2005-06-01,0,148.3172365,2329.715325
2005-07-01,1.310960607,188.4819163,1106.773976
2005-08-01,98.33722345,113.9899353,476.7066371
2005-09-01,111.0015538,58.60224936,361.8093639
2005-10-01,137.5613204,82.5539275,537.2263594
2005-11-01,0,0,451.084175
2005-12-01,0,0,0
2006-01-01,0,0,0
2006-02-01,0,0,0
2006-03-01,0,366.87499,1755.082711
2006-04-01,0,262.5438255,1157.124894
2006-05-01,0,64.75747239,196.2079138
2006-06-01,0,0,0
2006-07-01,5.220864939,147.4236818,1034.349905
2006-08-01,91.49257975,206.3063609,1175.331188
2006-09-01,0,0,0
2006-10-01,54.14502517,11.110915,225.191155
2006-11-01,23.34223606,54.48223169,0
2006-12-01,0,0,0
2007-01-01,0,0,0
2007-02-01,0,0,0
2007-03-01,301.6762981,294.991814,1768.203696
2007-04-01,138.6917876,533.7904022,5662.308982
2007-05-01,100.9316081,380.3190009,2069.167985
2007-06-01,13.09269014,82.63855126,617.1853821
2007-07-01,0,0,0
2007-08-01,39.14042075,51.91498669,506.817131
2007-09-01,0,0,0
2007-10-01,0,0,18.3404515
2007-11-01,119.3613481,123.6495697,635.822046
2007-12-01,0,0,0
2008-01-01,0,0,0
2008-02-01,0,0,0
2008-03-01,0,0,0
2008-04-01,0,0,1472.920652
2008-05-01,0,11.62567018,25.25796425
2008-06-01,0,0,0
2008-07-01,0,21.3354143,327.4742332
2008-08-01,0,271.6889718,548.1998525
2008-09-01,0,0,0
2008-10-01,0,0,0
2008-11-01,0,0,0
2008-12-01,79.00506475,68.63406471,224.604572
2009-01-01,0,0,0
2009-02-01,0,0,0
2009-03-01,0,0,804.3991293
2009-04-01,49.31282239,695.8628888,2818.829883
2009-05-01,0,272.9758111,2320.473668
2009-06-01,0,0,0
2009-07-01,0,0,0
2009-08-01,0,19.68592193,387.0522952
2009-09-01,0,0,0
2009-10-01,0,0,0
2009-11-01,0,0,0
2009-12-01,0,0,0
2010-01-01,0,0,0
2010-02-01,0,0,0
2010-03-01,0,152.8707919,1140.858666
2010-04-01,0,0,0
2010-05-01,0,0,124.1069988
2010-06-01,0,10.25585377,101.1857644
2010-07-01,0,0,0
2010-08-01,0,0,202.6511266
