	0
0	0.0
1	0.0
2	0.0
3	5.684341886080802e-14
4	0.0
5	1.4210854715202004e-14
6	0.0
7	1.1368683772161603e-13
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	4.547473508864641e-13
16	0.0
17	7.105427357601002e-15
18	0.0
19	2.842170943040401e-14
20	2.842170943040401e-14
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	9.094947017729282e-13
27	9.094947017729282e-13
28	0.0
29	0.0
30	7.105427357601002e-15
31	1.1368683772161603e-13
32	0.0
33	4.547473508864641e-13
34	0.0
35	0.0
36	0.0
37	0.0
38	0.0
39	0.0
40	1.1368683772161603e-13
41	0.0
42	5.684341886080802e-14
43	5.684341886080802e-14
44	2.842170943040401e-14
45	0.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	1.1368683772161603e-13
52	0.0
53	0.0
54	0.0
55	4.547473508864641e-13
56	2.842170943040401e-14
57	0.0
58	0.0
59	0.0
60	0.0
61	0.0
62	2.2737367544323206e-13
63	9.094947017729282e-13
64	2.842170943040401e-14
65	4.547473508864641e-13
66	0.0
67	0.0
68	5.684341886080802e-14
69	1.1368683772161603e-13
70	5.684341886080802e-14
71	0.0
72	0.0
73	0.0
74	4.547473508864641e-13
75	0.0
76	2.842170943040401e-14
77	0.0
78	2.2737367544323206e-13
79	2.2737367544323206e-13
80	0.0
81	2.842170943040401e-14
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	-9.094947017729282e-13
88	0.0
89	1.1368683772161603e-13
90	0.0
91	5.684341886080802e-14
92	0.0
93	3.552713678800501e-15
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	2.2737367544323206e-13
100	7.105427357601002e-15
101	0.0
102	0.0
103	1.1368683772161603e-13
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	1.1368683772161603e-13
111	0.0
112	0.0
113	0.0
114	0.0
115	5.684341886080802e-14
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	2.2737367544323206e-13
123	0.0
124	1.4210854715202004e-14
125	2.842170943040401e-14
126	0.0
127	0.0
