Date;U_init;etp;prec;FC;WP;dg;kc;area
01/08/2000;21.82527448;114.152;44.9102;26;12;1.31;0.6218476;297000
01/09/2000;20.27059093;126.682;102.91451;26;12;1.31;0.6363818;297000
01/10/2000;20.81578553;140.426;24.685027;26;12;1.31;0.74466205;297000
01/11/2000;17.34608447;143.613;171.0878;26;12;1.31;0.74466205;297000
01/12/2000;20.16082283;139.371;157.3528;26;12;1.31;0.74466205;297000
01/01/2001;22.13876751;138.583;206.4463;26;12;1.31;0.7770433;297000
01/02/2001;25.78754483;115.537;152.23078;26;12;1.31;0.7770433;297000
01/03/2001;27.5032383;115.044;109.2703;26;12;1.31;0.8305608;297000
01/04/2001;27.03583816;88.3034;14.801605;26;12;1.31;0.8074764;297000
01/05/2001;23.80302275;72.3004;65.60206;26;12;1.31;0.7841988;297000
01/06/2001;23.50847134;68.0757;26.992197;26;12;1.31;0.7592571;297000
01/07/2001;22.06249772;84.0036;15.636938;26;12;1.31;0.75441253;297000
01/08/2001;19.86629106;113.601;41.795668;26;12;1.31;0.6744464;297000
01/09/2001;18.28313001;126.294;32.849872;26;12;1.31;0.7408991;297000
01/10/2001;16.04545311;140.195;109.53077;26;12;1.31;0.6924524;297000
01/11/2001;17.01219145;143.534;120.16022;26;12;1.31;0.6924524;297000
01/12/2001;18.12202189;139.394;239.11519;26;12;1.31;0.67382467;297000
01/01/2002;23.99706204;141.069;169.1873;26;12;1.31;0.8118883;297000
01/02/2002;25.46647761;113.232;169.60717;26;12;1.31;0.8118883;297000
01/03/2002;27.71515612;120.547;76.2917;26;12;1.31;0.82441133;297000
01/04/2002;25.8652288;97.5731;0.023813774;26;12;1.31;0.78110874;297000
01/05/2002;21.99366463;76.2779;81.48396;26;12;1.31;0.7818843;297000
01/06/2002;22.04128998;77.8508;0.97474204;26;12;1.31;0.766326;297000
01/07/2002;19.21580413;86.4229;22.099622;26;12;1.31;0.69087297;297000
01/08/2002;17.55939929;117.227;42.63376;26;12;1.31;0.686878;297000
01/09/2002;16.26166502;127.41;16.262201;26;12;1.31;0.7619756;297000
01/10/2002;13.59515498;164.81;11.834286;26;12;1.31;0.7619756;297000
01/11/2002;11.17732276;144.633;136.5745;26;12;1.31;0.7619756;297000
01/12/2002;15.62051264;143.299;123.3047;26;12;1.31;0.77235526;297000
01/01/2003;16.76939007;138.523;317.6814;26;12;1.31;0.78569627;297000
01/02/2003;25.56141896;118.142;119.70648;26;12;1.31;0.78569627;297000
01/03/2003;25.84278857;118.586;53.48506;26;12;1.31;0.79780304;297000
01/04/2003;23.34833056;91.8486;68.2972;26;12;1.31;0.7909062;297000
01/05/2003;22.5549013;79.1828;28.056764;26;12;1.31;0.7909062;297000
01/06/2003;20.60301331;70.6907;16.022963;26;12;1.31;0.74545205;297000
01/07/2003;18.7014268;91.0325;5.4839533;26;12;1.31;0.74545205;297000
01/08/2003;16.0714828;116.812;20.215584;26;12;1.31;0.74545205;297000
01/09/2003;13.70830753;129.652;6.5962105;26;12;1.31;0.74545205;297000
01/10/2003;11.38792339;146.197;67.17605;26;12;1.31;0.7561569;297000
01/11/2003;12.63779661;148.318;62.61052;26;12;1.31;0.7561569;297000
01/12/2003;12.156375;136.609;148.2681;26;12;1.31;0.7561569;297000
01/01/2004;15.59096715;144.165;151.52263;26;12;1.31;0.7561569;297000
01/02/2004;17.83912148;123.666;157.3912;26;12;1.31;0.7561569;297000
01/03/2004;20.48364427;118.701;59.74071;26;12;1.31;0.7561569;297000
01/04/2004;19.00334003;87.7948;106.95972;26;12;1.31;0.7561569;297000
01/05/2004;20.42268368;72.0571;128.175;26;12;1.31;0.7561569;297000
01/06/2004;22.93676584;68.1787;34.94101;26;12;1.31;0.74545205;297000
01/07/2004;21.59267187;84.4115;37.53306;26;12;1.31;0.74545205;297000
01/08/2004;20.00522165;117.027;0;26;12;1.31;0.7458954;297000
01/09/2004;16.31973343;124.816;1.42191109;26;12;1.31;0.7458954;297000
01/10/2004;13.02299404;138.955;91.47056;26;12;1.31;0.79868877;297000
01/11/2004;13.80788914;135.323;70.33226;26;12;1.31;0.79868877;297000
01/12/2004;13.23831227;130.182;195.7433;26;12;1.31;0.79868877;297000
01/01/2005;18.01112318;136.301;350.1686;26;12;1.31;0.79868877;297000
01/02/2005;27.75647414;125.649;82.80747;26;12;1.31;0.79868877;297000
01/03/2005;25.9085527;118.077;155.90332;26;12;1.31;0.79868877;297000
01/04/2005;27.45553193;92.0626;34.41235;26;12;1.31;0.79868877;297000
01/05/2005;24.79198896;79.7247;48.38135;26;12;1.31;0.79868877;297000
01/06/2005;23.28374;70.0013;30.58832;26;12;1.31;0.7036227;297000
01/07/2005;22.01470542;88.8848;3.1864849;26;12;1.31;0.7036227;297000
01/08/2005;19.17909814;122.443;4.7477463;26;12;1.31;0.7032519;297000
01/09/2005;15.88676333;124.62;51.91005;26;12;1.31;0.7032519;297000
01/10/2005;15.1084935;128.289;134.6458;26;12;1.31;0.8123616;297000
01/11/2005;17.02403273;147.037;60.41002;26;12;1.31;0.8123616;297000
01/12/2005;15.07730427;134.404;152.4963;26;12;1.31;0.8123616;297000
01/01/2006;17.55008315;138.346;115.1972;26;12;1.31;0.8123616;297000
01/02/2006;17.92211352;114.072;233.6237;26;12;1.31;0.8123616;297000
01/03/2006;23.67286448;114.79;46.61596;26;12;1.31;0.8123616;297000
01/04/2006;21.19913791;89.5728;12.168351;26;12;1.31;0.8123616;297000
01/05/2006;18.40531022;77.1765;8.9783771;26;12;1.31;0.6786307;297000
01/06/2006;16.43499129;72.8144;11.623808;26;12;1.31;0.6786307;297000
01/07/2006;14.87999593;88.9394;14.527553;26;12;1.31;0.6786307;297000
01/08/2006;13.29699938;122.704;9.412539;26;12;1.31;0.66746527;297000
01/09/2006;11.40015626;127.483;62.07691;26;12;1.31;0.66746527;297000
01/10/2006;12.76017445;127.529;90.97592;26;12;1.31;0.7884396;297000
01/11/2006;13.02539888;142.228;68.2784;26;12;1.31;0.7884396;297000
01/12/2006;12.25451788;129.298;164.45792;26;12;1.31;0.7884396;297000
01/01/2007;16.04562006;135.856;416.53273;26;12;1.31;0.7884396;297000
01/02/2007;28.54635323;117.14;108.51286;26;12;1.31;0.7884396;297000
01/03/2007;27.7411097;118.442;70.2722;26;12;1.31;0.737716;297000
01/04/2007;25.7023726;87.3373;74.17818;26;12;1.31;0.72361875;297000
01/05/2007;24.97403966;73.8504;42.36536;26;12;1.31;0.72361875;297000
01/06/2007;23.36711259;72.4;0.75764954;26;12;1.31;0.6673371;297000
01/07/2007;20.77938275;87.3344;157.9681;26;12;1.31;0.66486603;297000
01/08/2007;24.57149523;125.403;0.015496347;26;12;1.31;0.6726084;297000
01/09/2007;20.40239662;134.955;2.03752321;26;12;1.31;0.6726084;297000
01/10/2007;16.62217206;146.265;21.605348;26;12;1.31;0.8631924;297000
01/11/2007;12.95151428;142.476;107.0643;26;12;1.31;0.8631924;297000
01/12/2007;14.14203137;139.775;167.7329;26;12;1.31;0.8631924;297000
01/01/2008;16.72210845;136.931;169.0764;26;12;1.31;0.8631924;297000
01/02/2008;18.87241697;116.794;136.9885;26;12;1.31;0.8631924;297000
01/03/2008;20.11975523;116.768;154.9509;26;12;1.31;0.8631924;297000
01/04/2008;21.92135257;84.8267;119.339;26;12;1.31;0.85005075;297000
01/05/2008;23.12883609;72.6364;41.50003;26;12;1.31;0.85005075;297000
01/06/2008;21.52039664;67.0803;20.099576;26;12;1.31;0.79972696;297000
01/07/2008;19.69525547;87.755;0.015525613;26;12;1.31;0.75600636;297000
01/08/2008;16.80207327;114.202;22.150336;26;12;1.31;0.750279;297000
01/09/2008;14.62982045;127.525;14.3783;26;12;1.31;0.750279;297000
01/10/2008;12.37365491;137.241;96.74264;26;12;1.31;0.7462839;297000
01/11/2008;14.03785859;143.939;93.29646;26;12;1.31;0.7462839;297000
01/12/2008;14.22439243;144.705;127.03721;26;12;1.31;0.7462839;297000
01/01/2009;15.68699368;139.151;275.7772;26;12;1.31;0.7722639;297000
01/02/2009;23.15353508;119.567;148.8499;26;12;1.31;0.7722639;297000
01/03/2009;24.94599182;113.566;121.5058;26;12;1.31;0.7722639;297000
01/04/2009;25.61512821;91.9104;15.479681;26;12;1.31;0.7722639;297000
01/05/2009;22.59831603;73.0171;43.14547;26;12;1.31;0.7680656;297000
01/06/2009;21.63548018;68.4876;21.419484;26;12;1.31;0.7680656;297000
01/07/2009;19.99809307;75.3229;45.41075;26;12;1.31;0.7680656;297000
01/08/2009;19.35758885;120.596;66.44046;26;12;1.31;0.71861225;297000
01/09/2009;18.59542983;116.184;111.91591;26;12;1.31;0.71861225;297000
01/10/2009;19.86116344;130.141;117.95908;26;12;1.31;0.73522735;297000
01/11/2009;20.42646218;142.07;170.8056;26;12;1.31;0.73522735;297000
01/12/2009;22.75523564;137.3;210.5132;26;12;1.31;0.73522735;297000
01/01/2010;26.51339806;137.763;246.6909;26;12;1.31;0.73522735;297000
01/02/2010;31.28083828;117.936;60.23267;26;12;1.31;0.73522735;297000
01/03/2010;28.66162091;118.666;86.57136;26;12;1.31;0.73522735;297000
01/04/2010;27.37762209;91.4726;74.27268;26;12;1.31;0.73522735;297000
01/05/2010;26.55521202;74.1088;35.37632;26;12;1.31;0.71213955;297000
01/06/2010;24.88504719;74.761;12.788254;26;12;1.31;0.71213955;297000
01/07/2010;22.47779429;88.7475;44.188;26;12;1.31;0.71213955;297000
01/08/2010;21.14573309;124.185;0;26;12;1.31;0.7024696;297000
01/09/2010;17.26003329;130.314;61.59057;26;12;1.31;0.7024696;297000
01/10/2010;16.21482287;139.504;93.06673;26;12;1.31;0.69865537;297000
01/11/2010;16.426327;147.076;30.83944;26;12;1.31;0.69865537;297000
01/12/2010;13.91341349;134.863;194.4807;26;12;1.31;0.69865537;297000
