Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-01-01,22,4.71,13,26,12,189.77,1.31,0.66,637200
2000-01-02,22,3.48,35,26,12,189.77,1.31,0.66,637200
2000-01-03,22,3.48,10.8,26,12,189.77,1.31,0.66,637200
2000-01-04,22,3.32,40,26,12,189.77,1.31,0.66,637200
2000-01-05,22,3.97,27.4,26,12,189.77,1.31,0.66,637200
2000-01-06,22,3.8,2.8,26,12,189.77,1.31,0.66,637200
2000-01-07,22,3.32,3,26,12,189.77,1.31,0.66,637200
2000-01-08,22,4.14,4.2,26,12,189.77,1.31,0.66,637200
2000-01-09,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-01-10,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-01-11,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-01-12,22,3.32,11.4,26,12,189.77,1.31,0.66,637200
2000-01-13,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-01-14,22,4.71,0.4,26,12,189.77,1.31,0.66,637200
2000-01-15,22,4.55,10.2,26,12,189.77,1.31,0.66,637200
2000-01-16,22,3.8,0.8,26,12,189.77,1.31,0.66,637200
2000-01-17,22,5.12,4,26,12,189.77,1.31,0.66,637200
2000-01-18,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-01-19,22,4.71,13.4,26,12,189.77,1.31,0.66,637200
2000-01-20,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-01-21,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-01-22,22,4.99,0,26,12,189.77,1.31,0.66,637200
2000-01-23,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-01-24,22,5.37,0,26,12,189.77,1.31,0.66,637200
2000-01-25,22,4.71,34.4,26,12,189.77,1.31,0.66,637200
2000-01-26,22,3.32,25,26,12,189.77,1.31,0.66,637200
2000-01-27,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-01-28,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-01-29,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-01-30,22,3.97,1,26,12,189.77,1.31,0.66,637200
2000-01-31,22,4.14,40,26,12,189.77,1.31,0.66,637200
2000-02-01,22,4.14,24,26,12,189.77,1.31,0.66,637200
2000-02-02,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-02-03,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-02-04,22,4.31,6.2,26,12,189.77,1.31,0.66,637200
2000-02-05,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-02-06,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-02-07,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-02-08,22,4.14,0.4,26,12,189.77,1.31,0.66,637200
2000-02-09,22,3.8,26.4,26,12,189.77,1.31,0.66,637200
2000-02-10,22,3.17,31,26,12,189.77,1.31,0.66,637200
2000-02-11,22,3.02,39.2,26,12,189.77,1.31,0.66,637200
2000-02-12,22,3.48,15.2,26,12,189.77,1.31,0.66,637200
2000-02-13,22,3.17,6.4,26,12,189.77,1.31,0.66,637200
2000-02-14,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-02-15,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-02-16,22,3.8,13.6,26,12,189.77,1.31,0.66,637200
2000-02-17,22,2.21,22.6,26,12,189.77,1.31,0.66,637200
2000-02-18,22,2.87,0.4,26,12,189.77,1.31,0.66,637200
2000-02-19,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-02-20,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-02-21,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-02-22,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-02-23,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-02-24,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-02-25,22,5.12,0,26,12,189.77,1.31,0.66,637200
2000-02-26,22,4.99,16.8,26,12,189.77,1.31,0.66,637200
2000-02-27,22,4.71,2.2,26,12,189.77,1.31,0.66,637200
2000-02-28,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-02-29,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-03-01,22,3.48,16.2,26,12,189.77,1.31,0.66,637200
2000-03-02,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-03-03,22,4.17,0,26,12,189.77,1.31,0.66,637200
2000-03-04,22,4.42,0,26,12,189.77,1.31,0.66,637200
2000-03-05,22,4.68,0,26,12,189.77,1.31,0.66,637200
2000-03-06,22,3.8,11.6,26,12,189.77,1.31,0.66,637200
2000-03-07,22,4.31,24,26,12,189.77,1.31,0.66,637200
2000-03-08,22,3.02,0.4,26,12,189.77,1.31,0.66,637200
2000-03-09,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-03-10,22,3.32,0,26,12,189.77,1.31,0.66,637200
