	0
0	7.275957614183426e-12
1	7.275957614183426e-12
2	7.275957614183426e-12
3	7.275957614183426e-12
4	7.275957614183426e-12
5	7.275957614183426e-12
6	7.275957614183426e-12
7	7.275957614183426e-12
8	7.275957614183426e-12
9	7.275957614183426e-12
10	7.275957614183426e-12
11	7.275957614183426e-12
12	7.275957614183426e-12
13	7.275957614183426e-12
14	7.275957614183426e-12
15	7.275957614183426e-12
16	7.275957614183426e-12
17	7.275957614183426e-12
18	7.275957614183426e-12
19	7.275957614183426e-12
20	7.275957614183426e-12
21	7.275957614183426e-12
22	7.275957614183426e-12
23	7.275957614183426e-12
24	7.275957614183426e-12
25	7.275957614183426e-12
26	7.275957614183426e-12
27	7.275957614183426e-12
28	7.275957614183426e-12
29	7.275957614183426e-12
30	7.275957614183426e-12
31	7.275957614183426e-12
32	7.275957614183426e-12
33	7.275957614183426e-12
34	7.275957614183426e-12
35	7.275957614183426e-12
36	7.275957614183426e-12
37	7.275957614183426e-12
38	7.275957614183426e-12
39	7.275957614183426e-12
40	7.275957614183426e-12
41	7.275957614183426e-12
42	7.275957614183426e-12
43	7.275957614183426e-12
44	7.275957614183426e-12
45	7.275957614183426e-12
46	7.275957614183426e-12
47	7.275957614183426e-12
48	7.275957614183426e-12
49	7.275957614183426e-12
50	7.275957614183426e-12
51	7.275957614183426e-12
52	7.275957614183426e-12
53	7.275957614183426e-12
54	7.275957614183426e-12
55	7.275957614183426e-12
56	7.275957614183426e-12
57	7.275957614183426e-12
58	7.275957614183426e-12
59	7.275957614183426e-12
60	7.275957614183426e-12
61	7.275957614183426e-12
62	7.275957614183426e-12
63	7.275957614183426e-12
64	7.275957614183426e-12
65	7.275957614183426e-12
66	7.275957614183426e-12
67	7.275957614183426e-12
68	7.275957614183426e-12
69	7.275957614183426e-12
70	7.275957614183426e-12
71	7.275957614183426e-12
72	7.275957614183426e-12
73	7.275957614183426e-12
74	7.275957614183426e-12
75	7.275957614183426e-12
76	7.275957614183426e-12
77	7.275957614183426e-12
78	7.275957614183426e-12
79	7.275957614183426e-12
80	7.275957614183426e-12
81	7.275957614183426e-12
82	7.275957614183426e-12
83	7.275957614183426e-12
84	7.275957614183426e-12
85	7.275957614183426e-12
86	7.275957614183426e-12
87	7.275957614183426e-12
88	7.275957614183426e-12
89	7.275957614183426e-12
90	7.275957614183426e-12
91	7.275957614183426e-12
92	7.275957614183426e-12
93	7.275957614183426e-12
94	7.275957614183426e-12
95	7.275957614183426e-12
96	7.275957614183426e-12
97	7.275957614183426e-12
98	7.275957614183426e-12
99	7.275957614183426e-12
100	7.275957614183426e-12
101	7.275957614183426e-12
102	7.275957614183426e-12
103	7.275957614183426e-12
104	7.275957614183426e-12
105	7.275957614183426e-12
106	7.275957614183426e-12
107	7.275957614183426e-12
108	7.275957614183426e-12
109	7.275957614183426e-12
110	7.275957614183426e-12
111	7.275957614183426e-12
112	7.275957614183426e-12
113	7.275957614183426e-12
114	7.275957614183426e-12
115	7.275957614183426e-12
116	7.275957614183426e-12
117	7.275957614183426e-12
118	7.275957614183426e-12
119	7.275957614183426e-12
120	7.275957614183426e-12
121	7.275957614183426e-12
122	7.275957614183426e-12
